id,SalePrice
1461,119980.39379499637
1462,151451.21625661425
1463,180232.9038298361
1464,197497.54330973656
1465,202493.32904679078
1466,170590.61191377885
1467,179826.30622151366
1468,159803.8819070604
1469,196185.13241526895
1470,118868.43975367006
1471,188146.27087270815
1472,98849.70831094397
1473,95118.41730500724
1474,143698.6135384601
1475,107802.18154703466
1476,353649.00041137746
1477,246581.4632738812
1478,299783.63855439995
1479,300047.4543705892
1480,468188.4005824213
1481,321394.13735809707
1482,213615.60012759359
1483,181214.16799261238
1484,160707.81831693772
1485,197440.49302860245
1486,194984.9120231807
1487,335958.45479681675
1488,238760.2938619661
1489,189552.3856245451
1490,239868.54972482988
1491,196849.22171126585
1492,92661.48217729741
1493,190723.14992032558
1494,295699.7939985553
1495,288792.98793812544
1496,234326.7482855486
1497,179780.1249947424
1498,171594.0628366695
1499,165740.5667769956
1500,158370.10750615376
1501,172888.01535864256
1502,145839.87850841688
1503,286087.37817448366
1504,242054.80174493964
1505,225794.62796433907
1506,187609.49051671615
1507,244101.1471907247
1508,201740.51192700936
1509,161772.17309877515
1510,142575.15824963938
1511,150762.70521155515
1512,177437.06124304608
1513,153769.1781760979
1514,154152.30386655798
1515,192690.91669040828
1516,155675.7555234215
1517,171546.17309629728
1518,131391.9711779427
1519,209120.06142809187
1520,125444.82303654194
1521,128968.68454346941
1522,179284.56246169924
1523,110069.66023629275
1524,126819.2143190668
1525,117916.12056679612
1526,110374.87502551854
1527,109265.73959842637
1528,140138.56076614556
1529,149762.33366146463
1530,187460.08808907447
1531,106966.29973581928
1532,98606.13246439977
1533,145751.75282190484
1534,127743.58113120125
1535,146892.98228287973
1536,107069.89133618207
1537,61366.96508112271
1538,147898.79908538435
1539,194971.04226398695
1540,98438.85986027936
1541,137960.03422413184
1542,140358.56010601195
1543,178432.3458121851
1544,88917.32044344206
1545,118538.79675861663
1546,138956.43929880095
1547,128086.84378628593
1548,142796.13631584684
1549,123943.0269996193
1550,133415.17775223695
1551,106609.17522722231
1552,133292.41385847947
1553,145113.06598310333
1554,116065.30212563858
1555,158630.95935255024
1556,86630.40272290817
1557,105284.81558946124
1558,102069.35571644358
1559,63829.26047680333
1560,134652.87687723525
1561,125769.48624528675
1562,130982.4848255331
1563,117702.4365314413
1564,154256.19442359632
1565,150932.77463413682
1566,239249.47735619897
1567,77668.63091289878
1568,232791.47018926038
1569,124218.5032882794
1570,141742.7683951858
1571,123612.42501366299
1572,140158.2428204981
1573,228498.38199803463
1574,119929.8758086422
1575,229455.52875441575
1576,250093.40986631386
1577,178003.45219095566
1578,150443.46992381042
1579,143391.49991785001
1580,197323.03076321108
1581,156289.91516272732
1582,124494.0330176324
1583,282134.9740377316
1584,216110.85491650432
1585,133806.75141496444
1586,64028.584661001514
1587,107186.1794775834
1588,151732.94363544698
1589,96475.33417300248
1590,133299.41620168902
1591,89619.26018793386
1592,115130.01514826706
1593,126205.86800303977
1594,122762.6995753621
1595,106233.63277575558
1596,214885.5757005952
1597,196034.40348020627
1598,233215.01178169218
1599,167051.69276646254
1600,158701.38549803357
1601,66602.01090282791
1602,118612.00746139744
1603,70798.42198966867
1604,256758.56719078307
1605,241469.86635122536
1606,168387.2735376846
1607,177838.41828708613
1608,216324.60020292716
1609,180719.07923342462
1610,151503.0778664525
1611,137779.55937544393
1612,173353.09589175813
1613,165126.80024408334
1614,130003.74363449588
1615,96468.71280317931
1616,79767.27227523451
1617,95877.68361469066
1618,125118.02615861692
1619,138668.52288480912
